==============================
P(D0): 
({x0}, type:0, size: 100, possibNZ: 0, (0.007056, 0.01603, 0.01399, 0.01088, 0.003369, 0.01824, 0.005054, 0.01761, 0.004263, 0.007116, 0.001667, 0.01219, 0.003441, 0.0008582, 0.01378, 0.006619, 0.01258, 0.007313, 0.01195, 0.0004124, 0.01735, 0.01525, 0.01421, 0.01549, 0.007302, 0.01176, 0.01096, 0.0101, 0.00524, 0.004736, 0.008604, 0.004338, 0.01532, 0.01879, 0.0005714, 0.0102, 0.001659, 0.01528, 0.01884, 0.001275, 0.0179, 0.0003463, 0.01303, 0.01493, 0.01018, 0.01687, 0.01713, 0.01192, 0.002626, 0.004149, 0.00347, 0.0007967, 0.002037, 0.01174, 0.0179, 0.006752, 0.007823, 0.01875, 0.01801, 0.01289, 0.01883, 0.01461, 0.006414, 0.01262, 0.004651, 0.005629, 0.01296, 0.01006, 0.007841, 0.01148, 0.0143, 0.01112, 0.01051, 0.01112, 0.00975, 0.001573, 0.01371, 0.01898, 0.006754, 0.0185, 0.0066, 0.01689, 0.008662, 0.007876, 0.004148, 0.002394, 0.005885, 0.01383, 0.01491, 0.01322, 0.0001867, 0.01606, 0.01757, 0.01469, 0.0008127, 0.007205, 0.01342, 0.0139, 0.004273, 0.005126))

P(A0): 
({x1}, type:0, size: 4, possibNZ: 0, (0.01853, 0.3105, 0.1358, 0.5352))
==============================
P(Dt|At,Dt-1 = 0): 
0.01082 0.01515 0.00235 0.01793 
 0.015 0.001615 0.007795 0.01613 
0.006055 0.01593 0.005269 0.0025 
0.003474 0.006836 0.01372 0.008915 
0.00658 0.000812 0.005424 0.01351 
0.004079 0.005865 0.01715 0.0105 
0.009903 0.01261 0.01582 0.001151 
0.01759 0.01361 0.007464 0.005228 
0.01221 0.009335 0.009529 0.01907 
0.001971 0.01176 0.0133 0.0003577 
0.007587 0.01531 0.01597 0.01975 
0.00106 0.0009386 0.01167 0.001785 
0.009731 0.005202  0.011 0.0153 
0.008381 0.0007913 0.00624 0.01144 
0.01936 0.003349 0.008735 0.004984 
0.01576 0.01234 0.01366 0.01307 
0.009428 0.01236 0.01693 0.002794 
0.01736 0.01504 0.0138 0.01534 
0.00267 0.009978 0.0003562 0.01371 
0.007571 0.001211 0.01291 0.00128 
 0.018 0.01581 0.008392 0.001288 
0.01781 0.01371 0.008379 0.003487 
0.01385 0.004899 0.00224 0.0004486 
 0.012 0.009314 0.01559 0.009949 
0.006664 0.01687 0.006217 0.01903 
0.01817 0.01226 0.004712 0.01411 
0.002422 0.01437 0.006559 0.01189 
0.01418 0.007422 0.00719 0.01975 
0.01255 0.008062 0.01046 0.002234 
0.01617 0.009606 0.01075 0.02076 
0.007732 0.00461 0.007575 0.00247 
0.01456 0.01283 0.00762 0.01182 
0.01621 0.008632 0.009863 0.003273 
0.00626 0.01108 0.01258 0.01279 
0.01072 0.005272 0.0182 0.0001047 
0.01901 0.002376 0.01382 0.01753 
0.01066 0.008147 0.007657 0.0194 
0.006414 0.006209 0.01592 0.02096 
0.01203 0.0135 0.002571 0.02256 
0.007001 0.01337 0.001157 0.01155 
0.01469 0.01145 0.001612 0.006205 
0.008035 0.002287 0.003137 0.002303 
0.009558 0.0003693 0.006205 0.01161 
0.01349 0.009591 0.005775 0.01339 
