==============================
P(D0): 
({x0}, (0.01502, 0.01289, 0.02251, 0.003097, 0.02698, 0.002479, 0.01964, 0.01806, 0.01774, 0.03582, 0.02064, 0.03276, 0.007557, 0.01261, 0.03537, 0.03951, 0.006885, 0.03362, 0.01993, 0.001528, 0.03651, 0.00285, 0.006041, 0.02335, 0.001877, 0.02597, 0.01849, 0.03964, 0.02464, 0.03878, 0.02728, 0.0326, 0.02513, 0.01313, 0.005553, 0.02454, 0.03789, 0.01813, 0.02841, 0.03011, 0.005239, 0.003414, 0.03032, 0.01283, 0.00448, 0.02587, 0.01689, 0.03555, 0.001398, 0.01846))

P(A0): 
({x1}, (0.2277, 0.6804, 0.09188))
==============================
P(Dt|At,Dt-1 = 0): 
0.02761 0.02356 0.03179 
0.009593 0.03824 0.03439 
0.03872 0.0374 0.02823 
0.0122 0.02603 0.03279 
0.00393 0.04074 0.02289 
0.04005 0.0146 0.01218 
0.02224 0.02425 0.01855 
0.03632 0.04242 0.03215 
0.002347 0.02185 0.01727 
0.03471 0.0224 0.01837 
0.01224 0.003815 0.02168 
0.02371 0.01308 0.01999 
0.03632 0.005351 0.009642 
0.01109 0.01275 0.01112 
0.03352 0.00667 0.005633 
0.03433 0.01596 0.008141 
0.02934 0.0141 0.02887 
0.01592 0.02353 0.03159 
0.03004 0.04071 0.01207 
0.009595 0.04355 0.02981 
0.01964 0.02698 0.02627 
0.001553 0.00631 0.002023 
0.0197 0.009695 0.005528 
0.02209 0.02281 0.03402 
0.0186 0.02669 0.02874 
0.004706 0.04267 0.03113 
0.02595 0.03475 0.02854 
6.765e-05 0.03354 0.005891 
0.004652 0.009198 0.03544 
 0.011 0.001923 0.005797 
0.02698 0.003855 0.01728 
0.001908 0.009395 0.02024 
0.03885 0.01606 0.01011 
0.02007 0.02293 0.02447 
0.02225 0.02054 0.01261 
0.01681 0.008356 0.03126 
0.03196 0.004854 0.003498 
0.03284 0.0117 0.01751 
0.0268 0.01432 0.001596 
0.02074 0.01798 0.02634 
0.0256 0.0356 0.02934 
0.0335 0.01293 0.009773 
0.0004346 0.04276 0.02469 
0.01043 0.004196 0.03024 
0.01674 0.01714 0.03066 
0.02623 0.01719 0.007542 
